date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:30:27	109/109	---MCZ	200	added ('OK')	text/plain	date:Tue,%2024%20Jun%202025%2019:00:27%20GMT	https://shakir.local/robots.txt		(from )
00:30:27	136645/136645	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2019:00:27%20GMT	https://shakir.local/	D:/website/nmpc-v2/shakir.local/index.html	(from )
00:30:28	114706/114706	---MCZ	200	added ('OK')	text/css	etag:W/%22672ce543-1c012%22	https://shakir.local/wp-includes/css/dist/block-library/style.min.css?ver=6.7.2	D:/website/nmpc-v2/shakir.local/wp-includes/css/dist/block-library/style.mind1c0.css	(from https://shakir.local/)
00:30:28	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.2/css/all.min.css?ver=6.7.2	D:/website/nmpc-v2/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.2/css/all.mind1c0.css	(from https://shakir.local/)
00:30:28	1920/1920	---MCZ	200	added ('OK')	text/css	etag:W/%226317eab4-780%22	https://shakir.local/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2.2	D:/website/nmpc-v2/shakir.local/wp-content/plugins/contact-form-7/includes/css/stylesbb49.css	(from https://shakir.local/)
00:30:28	38394/38394	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2248a692f959758d464708f04476e61ea9%22	https://shakir.local/feed/	D:/website/nmpc-v2/shakir.local/feed/index.html	(from https://shakir.local/)
00:30:28	711/711	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2248a692f959758d464708f04476e61ea9%22	https://shakir.local/comments/feed/	D:/website/nmpc-v2/shakir.local/comments/feed/index.html	(from https://shakir.local/)
00:30:28	4028/4028	---MCZ	200	added ('OK')	text/css	etag:W/%226317eab4-fbc%22	https://shakir.local/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts.css?ver=0.0.1	D:/website/nmpc-v2/shakir.local/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts622c.css	(from https://shakir.local/)
00:30:29	6875/6875	---MCZ	200	added ('OK')	text/css	etag:W/%226317eab4-1adb%22	https://shakir.local/wp-content/plugins/photo-gallery/css/sumoselect.min.css?ver=3.0.3	D:/website/nmpc-v2/shakir.local/wp-content/plugins/photo-gallery/css/sumoselect.min19ce.css	(from https://shakir.local/)
00:30:29	10538/10538	---MCZ	200	added ('OK')	text/css	etag:W/%226317eab4-292a%22	https://shakir.local/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.min.css?ver=1.5.62	D:/website/nmpc-v2/shakir.local/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.min272d.css	(from https://shakir.local/)
00:30:29	41763/41763	---MCZ	200	added ('OK')	text/css	etag:W/%226317eab4-a323%22	https://shakir.local/wp-content/plugins/photo-gallery/css/styles.min.css?ver=1.5.62	D:/website/nmpc-v2/shakir.local/wp-content/plugins/photo-gallery/css/styles.min272d.css	(from https://shakir.local/)
00:30:29	10596/10596	---MCZ	200	added ('OK')	text/css	etag:W/%226317eab8-2964%22	https://shakir.local/wp-content/themes/apex-business/assets/css/bootstrap.min.css?ver=1.9.0	D:/website/nmpc-v2/shakir.local/wp-content/themes/apex-business/assets/css/bootstrap.min8162.css	(from https://shakir.local/)
00:30:29	30738/30738	---MCZ	200	added ('OK')	text/css	etag:W/%226317eab8-7812%22	https://shakir.local/wp-content/themes/apex-business/assets/css/font-awesome.min.css?ver=4.7.0	D:/website/nmpc-v2/shakir.local/wp-content/themes/apex-business/assets/css/font-awesome.min1849.css	(from https://shakir.local/)
